City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,Mpulungu,-8.7623,31.1141,74.35,70,32,2.51,ZM,2021-01-07 18:32:53
71,Bubaque,11.2833,-15.8333,80.02,76,0,15.99,GW,2021-01-07 18:32:53
72,Kaitangata,-46.2817,169.8464,53.01,72,59,4.0,NZ,2021-01-07 18:32:53
73,Carutapera,-1.195,-46.02,87.55,61,12,9.73,BR,2021-01-07 18:29:51
74,Vernon,50.2581,-119.2691,34.0,74,3,5.75,CA,2021-01-07 18:32:54
75,Hualmay,-11.0964,-77.6139,76.53,66,16,12.1,PE,2021-01-07 18:32:54
76,Avarua,-21.2078,-159.775,80.6,83,20,6.91,CK,2021-01-07 18:32:55
77,Yelizovo,53.1873,158.3805,-5.8,71,19,11.18,RU,2021-01-07 18:32:55
78,Karratha,-20.7377,116.8463,84.31,70,0,0.92,AU,2021-01-07 18:32:55
79,Sayyan,15.1718,44.3244,43.65,58,0,5.39,YE,2021-01-07 18:32:55
80,Vanimo,-2.6741,141.3028,78.84,81,100,4.16,PG,2021-01-07 18:32:55
81,Seminole,28.7086,-81.2081,73.0,49,1,11.5,US,2021-01-07 18:32:56
82,Jacareacanga,-6.2222,-57.7528,91.4,66,40,4.61,BR,2021-01-07 18:32:56
83,San Quintin,30.4833,-115.95,67.06,47,0,5.86,MX,2021-01-07 18:32:56
84,Thompson,55.7435,-97.8558,23.0,93,75,8.05,CA,2021-01-07 18:28:21
85,Bayeux,-7.125,-34.9322,86.0,62,20,13.8,BR,2021-01-07 18:28:41
86,Castro,-24.7911,-50.0119,72.16,88,100,6.29,BR,2021-01-07 18:32:57
87,Cherskiy,68.75,161.3,-14.93,89,100,4.14,RU,2021-01-07 18:28:32
88,Barrow,71.2906,-156.7887,-7.6,77,40,5.75,US,2021-01-07 18:32:58
89,Wuwei,37.9281,102.6414,5.11,71,0,0.72,CN,2021-01-07 18:32:58
90,Arlit,18.7369,7.3853,85.95,13,0,9.91,NE,2021-01-07 18:28:50
91,Bonthe,7.5264,-12.505,80.56,79,11,8.99,SL,2021-01-07 18:30:17
92,Flinders,-34.5833,150.8552,64.99,85,39,1.99,AU,2021-01-07 18:32:59
93,Port Blair,11.6667,92.75,80.56,81,0,11.52,IN,2021-01-07 18:29:05
94,Bredasdorp,-34.5322,20.0403,69.8,68,49,9.22,ZA,2021-01-07 18:32:59
