City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Luganville,VU,81.28,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
422,Kununurra,AU,82.4,overcast clouds,-15.7667,128.7333,Hotel Kununurra
424,Nabire,ID,77.25,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
429,Champasak,LA,60.1,clear sky,14.75,106.0,Kiat Ngong Wetland BUNGALOW
430,Faanui,PF,80.87,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
433,Tezu,IN,61.7,broken clouds,27.9167,96.1667,Circuit House
436,Rancho Palos Verdes,US,69.8,broken clouds,33.7445,-118.387,Terranea Resort
437,Biak,ID,76.95,few clouds,-0.9131,122.8766,Penginapan Kim
438,Dera Ghazi Khan,PK,53.29,clear sky,30.0561,70.6348,Hamlani Khosa Chowk
439,San,ML,81.95,clear sky,13.3034,-4.8956,Hôtel Teriya
441,Taoudenni,ML,64.78,few clouds,22.6783,-3.9836,
442,Zurrieq,MT,64.4,overcast clouds,35.8311,14.4742,Ta' Bertu Host Family Bed & Breakfast
445,Wanaka,NZ,55.74,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
449,San Cristobal,VE,84.2,light rain,7.7669,-72.225,Pirineos
450,Sur,OM,65.5,clear sky,22.5667,59.5289,Sur Plaza Hotel
456,Santa Cruz De La Palma,ES,62.6,few clouds,28.6835,-17.7642,H10 Taburiente Playa
458,Kyabe,TD,76.37,overcast clouds,9.4515,18.9449,
459,Mareeba,AU,77.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
460,Bosaso,SO,73.36,overcast clouds,11.2842,49.1816,Red Sea Hotel
461,Gamba,GA,78.6,broken clouds,-2.65,10.0,
462,Guadalupe,MX,57.2,scattered clouds,25.6833,-100.25,Fiesta Inn Monterrey Fundidora
468,Takoradi,GH,79.86,clear sky,4.8845,-1.7554,Raybow International Hotel
470,Alampur,IN,73.31,overcast clouds,15.8833,78.15,Haritha Hotel Alampur
474,Lhokseumawe,ID,75.61,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
475,Luanda,AO,78.8,few clouds,-8.8368,13.2343,EPIC SANA Luanda
477,Marsabit,KE,69.19,clear sky,2.3284,37.9899,Chicho Hotel
479,Sumter,US,59.0,broken clouds,28.7086,-82.0831,Paradise Oaks RV Resort
480,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
483,Bull Savanna,JM,79.56,overcast clouds,17.8868,-77.5902,Big Red's
486,Mizdah,LY,70.66,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
489,Popondetta,PG,74.23,overcast clouds,-8.7537,148.2534,Timos Transit House
490,Port Hedland,AU,82.4,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
491,Ginir,ET,58.75,few clouds,7.1333,40.7,Sura Dare Village
492,Moyale,KE,72.93,clear sky,3.5167,39.0584,La Tahzan Guest House
